item_name,mat_id,category,unit,reorder_level
กดทก120,1,กระดาษทราย,ชิ้น,10
กดทก320,2,กระดาษทราย,ชิ้น,10
กดทก400,3,กระดาษทราย,ชิ้น,10
กดทก80,4,กระดาษทราย,ชิ้น,10
กดทห100,5,กระดาษทราย,ชิ้น,10
กดทห1000,6,กระดาษทราย,ชิ้น,10
กดทห120,7,กระดาษทราย,ชิ้น,10
กดทห1200,8,กระดาษทราย,ชิ้น,10
กดทห150,9,กระดาษทราย,ชิ้น,10
กดทห1500,10,กระดาษทราย,ชิ้น,10
กดทห320,11,กระดาษทราย,ชิ้น,10
กดทห600,12,กระดาษทราย,ชิ้น,10
กดทห80,13,กระดาษทราย,ชิ้น,10
กระดาษทรายหลังกาว,14,กระดาษทราย,ชิ้น,10
ขนแกะขาว,15,แปรง/ขนแกะ,ชิ้น,10
ขนแกะเหลือง,16,แปรง/ขนแกะ,ชิ้น,10
ถุงมือผ้า,17,ถุงมือ,ชิ้น,10
ถุงมือยาง,18,ถุงมือ,ชิ้น,10
สเปย์ดำด้าน,19,สเปรย์,ชิ้น,10
สเปย์ดำเงา,20,สเปรย์,ชิ้น,10
สเปย์บรอน,21,สเปรย์,ชิ้น,10
แปรงกากมะพร้าว,22,แปรง/ขนแกะ,ชิ้น,10
แผ่นที่1,23,แผ่นขัด,ชิ้น,10
