date,supplier,total,invoice,notes,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
2563-12-10,ช.ทรัพย์สินไทย,5350,IV6312181,,,,,
2563-12-10,ช.ทรัพย์สินไทย,23872.77,IV6312182,,,,,
2563-12-21,ช.ทรัพย์สินไทย,62334.99,IV6312328,กสิกร 25/2/2564 # 29776188,,,,
2563-12-21,ช.ทรัพย์สินไทย,48843.36,IV6312329,,,,,
2563-12-21,ช.ทรัพย์สินไทย,257677.4,IV6312330,,,,,
2563-12-04,ออโต้ สมาร์ท เทค,16138.81,202012048,กสิกร 18/1/64 # 29776153,,,,
2563-12-09,ออโต้ สมาร์ท เทค,5014.72,202012093,กสิกร 18/1/64 # 29776153,,,,
2563-12-04,ทาเลนท์อินเตอร์เทรด,5164.89,IV2004866,โอน กสิกร 22/3/64,,,,
2563-12-09,ทาเลนท์อินเตอร์เทรด,10740.66,IV2005155,โอน กสิกร 22/3/64,,,,
2563-12-12,ทาเลนท์อินเตอร์เทรด,3477.5,IV2005355,โอน กสิกร 22/3/64,,,,
2563-12-21,กิ๊บน๊อต / ร้านต้นคิด   ,350,(บิล 21/12/63),โอน BBL 054-716-1281,,,,
2563-12-22,กิ๊บน๊อต / ร้านต้นคิด   ,1400,(บิล 22/12/63),โอน BBL 054-716-1281,,,,
2563-12-21,กิ๊บน๊อต / ร้านต้นคิด   ,1250,(บิล 21/12/63),โอน BBL 054-716-1281,,,,
,โสภา การยาง เดือน 12/63,8400,,โอน 10/2/64,,,,
,ชื่อร้านค้า,ยอดรวม,เลขที่บิล,หมายเหตุ,,,,
2564-01-04,ทาเลนท์ อินเตอร์เทรด,5558.65,IV2106105,โอน กสิกร 29/4/64,,,,
2564-01-14,ทาเลนท์ อินเตอร์เทรด,5253.7,IV2106825,โอน กสิกร 29/4/64,,,,
2564-01-16,ทาเลนท์ อินเตอร์เทรด,5002.25,IV2106982,โอน กสิกร 29/4/64,,,,
2564-01-19,ทาเลนท์ อินเตอร์เทรด,3557.75,IV2107097,โอน กสิกร 29/4/64,,,,
2564-01-19,ทาเลนท์ อินเตอร์เทรด,4108.8,IV2107098,โอน กสิกร 29/4/64,,,,
2564-01-20,ทาเลนท์ อินเตอร์เทรด,952.3,IV2107157,โอน กสิกร 29/4/64,,,,
2564-01-22,ทาเลนท์ อินเตอร์เทรด,347.75,IV2107365,โอน กสิกร 29/4/64,,,,
