item_name,supplier_name,quantity,price_per_unit,total_amount,amount_before_vat,purchase_date,invoice_no,notes,category,sheet_category,discount_pct,pur_id
ทินเนอร์ 3A  SB  150 kg.,ไทยนคร,1,6800,6800,,2561-03-01,,,ทินเนอร์,งานสี,,1
ทินเนอร์ 3A  SB  150 kg.,ไทยนคร,2,6800,13600,,2561-04-05,,,ทินเนอร์,งานสี,,2
ทินเนอร์ 3A  SB  150 kg.,ไทยนคร,1,6800,6800,,2562-04-22,,,ทินเนอร์,งานสี,,3
ทินเนอร์ 3A EXKO -- ใช้แล้วมีปัญหา,เอ็มแอนด์บี ,1,6000,6420,,2561-05-29,,,ทินเนอร์,งานสี,,4
ทินเนอร์ 3A  SB  150 kg.,ไทยนคร,1,6800,6800,,2561-07-05,,,ทินเนอร์,งานสี,,5
ทินเนอร์ 3A  SB  150 kg.,ไทยนคร,2,6800,13600,,2562-05-16,,,ทินเนอร์,งานสี,,6
ทินเนอร์ 3A  SB  150 kg.,ไทยนคร,2,6800,13600,,2562-06-05,,,ทินเนอร์,งานสี,,7
ทินเนอร์ 3A  SB  150 kg.,ไทยนคร,2,6800,13600,,2562-07-01,,,ทินเนอร์,งานสี,,8
ทินเนอร์ 3A  SB  150 kg.,ไทยนคร,1,6800,6800,,2562-07-26,,,ทินเนอร์,งานสี,,9
ทินเนอร์ 3A  SB  150 kg.,ไทยนคร,2,6800,13600,,2562-08-08,,,ทินเนอร์,งานสี,,10
ทินเนอร์ 3A  SB  150 kg.,ไทยนคร,2,6800,13600,,2562-09-11,,,ทินเนอร์,งานสี,,11
ทินเนอร์ 3A  SB  150 kg.,ไทยนคร,2,6800,13600,,2563-01-29,,,ทินเนอร์,งานสี,,12
ทินเนอร์ 3A  SB  150 kg.,ไทยนคร,2,6800,13600,,2563-03-03,,,ทินเนอร์,งานสี,,13
ทินเนอร์ 3A  SB  150 kg.,ไทยนคร,2,6200,12400,,2563-04-07,,,ทินเนอร์,งานสี,,14
ทินเนอร์ 3A  SB  150 kg.,ไทยนคร,2,6200,12400,,2563-05-08,,,ทินเนอร์,งานสี,,15
ทินเนอร์ 3A  Matrix  150 kg.,ไทยนคร,3,5300,15900,,2563-06-16,,,ทินเนอร์,งานสี,,16
ทินเนอร์ 3A  Matrix  150 kg.,ไทยนคร,2,5300,10600,,2563-07-24,,,ทินเนอร์,งานสี,,17
ทินเนอร์ 3A  Matrix  150 kg.,ไทยนคร,2,5300,10600,,2563-08-24,,,ทินเนอร์,งานสี,,18
ทินเนอร์ 3A  Matrix  150 kg.,ไทยนคร,2,5300,10600,,2563-10-21,,,ทินเนอร์,งานสี,,19
ทินเนอร์ 3A  Matrix  150 kg.,ไทยนคร,2,5300,10600,,2563-11-22,,,ทินเนอร์,งานสี,,20
ทินเนอร์ 3A  Matrix  150 kg.,ไทยนคร,2,5500,11000,,2563-11-25,,,ทินเนอร์,งานสี,,21
ทินเนอร์ 3A  Matrix  150 kg.,ไทยนคร,2,5500,11000,,2563-12-21,,,ทินเนอร์,งานสี,,22
ทินเนอร์ 3A  150 kg.,ทาเลนท์,1,5000,5000,,2564-01-04,,ราคายังไม่รวม VAT 7%,ทินเนอร์,งานสี,,23
ทินเนอร์ 3A  150 kg.,ทาเลนท์,2,5000,10000,,2564-02-22,,ราคายังไม่รวม VAT 7%,ทินเนอร์,งานสี,,24
ทินเนอร์ 3A  150 kg.,ทาเลนท์,2,5000,10000,,2564-03-29,,ราคายังไม่รวม VAT 7%,ทินเนอร์,งานสี,,25
ทินเนอร์ 3A  150 kg.,ทาเลนท์,2,5000,10000,,2564-05-03,,ราคายังไม่รวม VAT 7%,ทินเนอร์,งานสี,,26
ทินเนอร์ 3A  150 kg.,ทาเลนท์,2,5000,10000,,2564-06-05,IV6405945,ราคายังไม่รวม VAT 7%,ทินเนอร์,งานสี,,27
ทินเนอร์ 3A  150 kg.,ทาเลนท์,2,5000,10000,,2564-07-04,IV6407883,ราคายังไม่รวม VAT 7%,ทินเนอร์,งานสี,,28
ทินเนอร์ 3A  150 kg. -- ถังพลาสติก ตีเทิร์นได้ ใบละ 200 บาท,ทาเลนท์,1,5000,5000,,2564-08-16,,ราคายังไม่รวม VAT 7%,ทินเนอร์,งานสี,,29
ทินเนอร์ 3A  150 kg. -- ถังพลาสติก ตีเทิร์นได้ ใบละ 200 บาท,ทาเลนท์,1,5000,5000,,2564-08-24,,ราคายังไม่รวม VAT 7%,ทินเนอร์,งานสี,,30
ทินเนอร์ 3A MATRIX -- ถังเหล็ก,ทรัพย์สิน,2,4800,9600,,2564-09-23,IV6409299,ราคายังไม่รวม VAT 7%,ทินเนอร์,งานสี,,31
ทินเนอร์ 3A MATRIX -- ถังเหล็ก,ทรัพย์สิน,2,4800,9600,,2564-10-26,IV6410365,ราคายังไม่รวม VAT 7%,ทินเนอร์,งานสี,,32
ทินเนอร์ 3A MATRIX -- ถังเหล็ก,ทรัพย์สิน,2,4800,9600,,2564-11-23,IV6411321,ราคายังไม่รวม VAT 7%,ทินเนอร์,งานสี,,33
ทินเนอร์ 3A  150 kg.,ทาเลนท์,2,5000,10000,,2565-01-22,IV6501434,ราคายังไม่รวม VAT 7%,ทินเนอร์,งานสี,,34
ทินเนอร์ 3A A-CW 200ลิตร (156 kg.),ไทยนคร,1,5000,5000,,2565-02-16,INV22020634,ราคายังไม่รวม VAT 7%,ทินเนอร์,งานสี,,35
ทินเนอร์ 3A A-CW 200ลิตร (156 kg.),ไทยนคร,1,5000,5000,,2565-03-25,INV22031033,ราคายังไม่รวม VAT 7%,ทินเนอร์,งานสี,,36
ทินเนอร์ 3A A-CW 200ลิตร (150 kg.),ไทยนคร,2,5140.18,10280.37,,2565-05-03,IB3000095,ราคายังไม่รวม VAT 7%,"** เมื่อ 23/6/65 ไทยนครแจ้ง 6,100+7%",งานสี,,37
ทินเนอร์ 3A A-CW 200ลิตร (150 kg.),ไทยนคร,2,6100,12200,,2565-06-23,INV22060914,ราคายังไม่รวม VAT 7%,"** เมื่อ 23/6/65 ไทยนครแจ้ง 6,100+7%",งานสี,,38
ทินเนอร์ 3A A-CW 200ลิตร (150 kg.),ไทยนคร,1,6100,6100,,2565-08-20,INV22080756,ราคายังไม่รวม VAT 7%,"** เมื่อ 23/6/65 ไทยนครแจ้ง 6,100+7%",งานสี,,39
ทินเนอร์ 3A A-CW 200ลิตร (150 kg.),ไทยนคร,2,6100,12200,,2565-10-01,INX00000683,ราคายังไม่รวม VAT 7%,"** เมื่อ 23/6/65 ไทยนครแจ้ง 6,100+7%",งานสี,,40
ทินเนอร์ 3A A-CW 200ลิตร (150 kg.),ไทยนคร,1,6100,6100,,2565-10-20,INV22100716,ราคายังไม่รวม VAT 7%,"** เมื่อ 23/6/65 ไทยนครแจ้ง 6,100+7%",งานสี,,41
ทินเนอร์ 3A A-CW 200ลิตร (150 kg.),ไทยนคร,2,6100,12200,,2565-11-15,INV22110536,ราคายังไม่รวม VAT 7%,"** เมื่อ 23/6/65 ไทยนครแจ้ง 6,100+7%",งานสี,,42
ทินเนอร์ 3A A-CW 200ลิตร (150 kg.),ไทยนคร,2,6100,12200,,2566-02-03,INV23020087,ราคายังไม่รวม VAT 7%,"** เมื่อ 23/6/65 ไทยนครแจ้ง 6,100+7%",งานสี,,43
ทินเนอร์ 3A A-CW 200ลิตร (150 kg.),ไทยนคร,2,6100,12200,,2566-03-17,INV23030628,ราคายังไม่รวม VAT 7%,"** เมื่อ 23/6/65 ไทยนครแจ้ง 6,100+7%",งานสี,,44
ทินเนอร์ 3A A-CW 200ลิตร (150 kg.),ไทยนคร,1,6100,6100,,2566-05-06,INV23050217,ราคายังไม่รวม VAT 7%,"** เมื่อ 23/6/65 ไทยนครแจ้ง 6,100+7%",งานสี,,45
ทินเนอร์ 3A A-CW 200ลิตร (150 kg.),ไทยนคร,1,6100,6100,,2566-06-12,INV23060429,ราคายังไม่รวม VAT 7%,"** เมื่อ 23/6/65 ไทยนครแจ้ง 6,100+7%",งานสี,,46
