mat_id,item_name,current_qty,last_updated
1,กดทก120,0,2026-04-10T08:52:13.930561
2,กดทก320,0,2026-04-10T08:52:13.930561
3,กดทก400,0,2026-04-10T08:52:13.930561
4,กดทก80,0,2026-04-10T08:52:13.930561
5,กดทห100,0,2026-04-10T08:52:13.930561
6,กดทห1000,0,2026-04-10T08:52:13.930561
7,กดทห120,0,2026-04-10T08:52:13.930561
8,กดทห1200,0,2026-04-10T08:52:13.930561
9,กดทห150,0,2026-04-10T08:52:13.930561
10,กดทห1500,0,2026-04-10T08:52:13.930561
11,กดทห320,0,2026-04-10T08:52:13.930561
12,กดทห600,0,2026-04-10T08:52:13.930561
13,กดทห80,0,2026-04-10T08:52:13.930561
14,กระดาษทรายหลังกาว,0,2026-04-10T08:52:13.930561
15,ขนแกะขาว,0,2026-04-10T08:52:13.930561
16,ขนแกะเหลือง,0,2026-04-10T08:52:13.930561
17,ถุงมือผ้า,0,2026-04-10T08:52:13.930561
18,ถุงมือยาง,0,2026-04-10T08:52:13.930561
19,สเปย์ดำด้าน,0,2026-04-10T08:52:13.930561
20,สเปย์ดำเงา,0,2026-04-10T08:52:13.930561
21,สเปย์บรอน,0,2026-04-10T08:52:13.930561
22,แปรงกากมะพร้าว,0,2026-04-10T08:52:13.930561
23,แผ่นที่1,0,2026-04-10T08:52:13.930561
